Folder,DROID Score
lift_eggplant_s42,0.09596740454435349
lift_eggplant_s43,0.11094716936349869
lift_eggplant_s44,0.19374941289424896
lift_eggplant_s45,0.2053469568490982
lift_eggplant_s46,0.13148556649684906
lift_eggplant_s47,0.1818695217370987
lift_eggplant_s48,0.20417062938213348
lift_eggplant_s49,0.22390782833099365
lift_eggplant_s50,0.2564190626144409
lift_eggplant_s51,0.8372423648834229
lift_eggplant_s52,0.42651084065437317
lift_eggplant_s53,0.4446486532688141
lift_eggplant_s54,0.19341330230236053
lift_eggplant_s55,0.14883461594581604
lift_eggplant_s56,0.15740050375461578
lift_eggplant_s57,0.17076455056667328
lift_eggplant_s58,0.13054636120796204
lift_eggplant_s59,0.16940653324127197
lift_eggplant_s60,0.23385481536388397
lift_eggplant_s61,0.1258821189403534
lift_eggplant_s62,0.21128305792808533
lift_eggplant_s63,0.2961840331554413
lift_eggplant_s64,0.13849855959415436
lift_eggplant_s65,0.15995022654533386
lift_eggplant_s66,0.18167713284492493
lift_eggplant_s67,0.14197957515716553
lift_eggplant_s68,0.13182523846626282
lift_eggplant_s69,0.13763412833213806
lift_eggplant_s70,0.19594259560108185
lift_eggplant_s71,0.3514942228794098
put_blue_cup_on_plate_s42,0.1627141684293747
put_blue_cup_on_plate_s43,0.14625348150730133
put_blue_cup_on_plate_s44,0.16287386417388916
put_blue_cup_on_plate_s45,0.2925339639186859
put_blue_cup_on_plate_s46,0.13877829909324646
put_blue_cup_on_plate_s47,0.19102850556373596
put_blue_cup_on_plate_s48,0.14690537750720978
put_blue_cup_on_plate_s49,0.12842953205108643
put_blue_cup_on_plate_s50,0.22622205317020416
put_blue_cup_on_plate_s51,0.17744670808315277
put_blue_cup_on_plate_s52,0.26667502522468567
put_blue_cup_on_plate_s53,0.29156267642974854
put_blue_cup_on_plate_s54,0.3526499271392822
put_blue_cup_on_plate_s55,0.19032132625579834
put_blue_cup_on_plate_s56,0.3919927179813385
put_blue_cup_on_plate_s57,0.1641397476196289
put_blue_cup_on_plate_s58,0.2407146543264389
put_blue_cup_on_plate_s59,0.2578566372394562
put_blue_cup_on_plate_s60,0.16328750550746918
put_blue_cup_on_plate_s61,0.28823697566986084
put_blue_cup_on_plate_s62,0.4493599236011505
put_blue_cup_on_plate_s63,0.799080491065979
put_blue_cup_on_plate_s64,0.1427084505558014
put_blue_cup_on_plate_s65,0.14791561663150787
put_blue_cup_on_plate_s66,0.19409197568893433
put_blue_cup_on_plate_s67,0.2341727763414383
put_blue_cup_on_plate_s68,0.17153030633926392
put_blue_cup_on_plate_s69,0.4013012945652008
put_blue_cup_on_plate_s70,0.28247275948524475
put_blue_cup_on_plate_s71,0.22060395777225494
put_carrot_on_plate_s42,0.2892436981201172
put_carrot_on_plate_s43,0.24140405654907227
put_carrot_on_plate_s44,0.24478597939014435
put_carrot_on_plate_s45,0.23268258571624756
put_carrot_on_plate_s46,0.13844680786132812
put_carrot_on_plate_s47,0.28192123770713806
put_carrot_on_plate_s48,0.1280650943517685
put_carrot_on_plate_s49,0.27166157960891724
put_carrot_on_plate_s50,0.10721617192029953
put_carrot_on_plate_s51,0.14938277006149292
put_carrot_on_plate_s52,0.1267058104276657
put_carrot_on_plate_s53,0.36344364285469055
put_carrot_on_plate_s54,0.120859295129776
put_carrot_on_plate_s55,0.1466575264930725
put_carrot_on_plate_s56,0.12657183408737183
put_carrot_on_plate_s57,0.12310652434825897
put_carrot_on_plate_s58,0.12564390897750854
put_carrot_on_plate_s59,0.10404272377490997
put_carrot_on_plate_s60,0.15096890926361084
put_carrot_on_plate_s61,0.26144105195999146
put_carrot_on_plate_s62,0.16168828308582306
put_carrot_on_plate_s63,0.4723745882511139
put_carrot_on_plate_s64,0.11012837290763855
put_carrot_on_plate_s65,0.15250486135482788
put_carrot_on_plate_s66,0.15483783185482025
put_carrot_on_plate_s67,0.1185612678527832
put_carrot_on_plate_s68,0.14176321029663086
put_carrot_on_plate_s69,0.21833071112632751
put_carrot_on_plate_s70,0.19276563823223114
put_carrot_on_plate_s71,0.2016061693429947
put_eggplant_into_pot_s42,0.25457093119621277
put_eggplant_into_pot_s43,0.12094487994909286
