Folder,Subjective Quality
lift_eggplant_s42,4.653318870358351
lift_eggplant_s43,4.578084864267489
lift_eggplant_s44,4.638740213905892
lift_eggplant_s45,4.549498779017751
lift_eggplant_s46,4.620297443575975
lift_eggplant_s47,4.642838838623791
lift_eggplant_s48,4.583159807251721
lift_eggplant_s49,4.545331908435356
lift_eggplant_s50,4.453220495363561
lift_eggplant_s51,4.645845506249405
lift_eggplant_s52,4.54397325980954
lift_eggplant_s53,4.631565849955489
lift_eggplant_s54,4.638882032254847
lift_eggplant_s55,4.58447065585997
lift_eggplant_s56,4.530151995216928
lift_eggplant_s57,4.62293078259724
lift_eggplant_s58,4.5787190809482485
lift_eggplant_s59,4.668335333103087
lift_eggplant_s60,4.599520613507527
lift_eggplant_s61,4.691526610676835
lift_eggplant_s62,4.579272723779446
lift_eggplant_s63,4.5350188162268665
lift_eggplant_s64,4.651819915306278
lift_eggplant_s65,4.5461597675230445
lift_eggplant_s66,4.607093217896252
lift_eggplant_s67,4.711410964407572
lift_eggplant_s68,4.590815009140387
lift_eggplant_s69,4.631675266638035
lift_eggplant_s70,4.623692384580287
lift_eggplant_s71,4.617458971535287
put_blue_cup_on_plate_s42,4.716071791765167
put_blue_cup_on_plate_s43,4.720145690731886
put_blue_cup_on_plate_s44,4.672052895150533
put_blue_cup_on_plate_s45,4.749122270723668
put_blue_cup_on_plate_s46,4.734823366490806
put_blue_cup_on_plate_s47,4.7112866378412015
put_blue_cup_on_plate_s48,4.78163665678443
put_blue_cup_on_plate_s49,4.74992520634721
put_blue_cup_on_plate_s50,4.7445506933258805
put_blue_cup_on_plate_s51,4.744690662477074
put_blue_cup_on_plate_s52,4.774654958306289
put_blue_cup_on_plate_s53,4.770414503609262
put_blue_cup_on_plate_s54,4.654566497337528
put_blue_cup_on_plate_s55,4.712699110915021
put_blue_cup_on_plate_s56,4.748427170078929
put_blue_cup_on_plate_s57,4.752079533367622
put_blue_cup_on_plate_s58,4.761960227315019
put_blue_cup_on_plate_s59,4.685780385645424
put_blue_cup_on_plate_s60,4.7877891005539315
put_blue_cup_on_plate_s61,4.690627191124893
put_blue_cup_on_plate_s62,4.738881367008861
put_blue_cup_on_plate_s63,4.740433378917415
put_blue_cup_on_plate_s64,4.689118955193496
put_blue_cup_on_plate_s65,4.727185423781232
put_blue_cup_on_plate_s66,4.7269156153609115
put_blue_cup_on_plate_s67,4.697285908024486
put_blue_cup_on_plate_s68,4.745441878714213
put_blue_cup_on_plate_s69,4.678466796875
put_blue_cup_on_plate_s70,4.707433258614889
put_blue_cup_on_plate_s71,4.766177700787056
put_carrot_on_plate_s42,4.60900468361087
put_carrot_on_plate_s43,4.638574239684314
put_carrot_on_plate_s44,4.751254384110614
put_carrot_on_plate_s45,4.827989903891959
put_carrot_on_plate_s46,4.718006913254901
put_carrot_on_plate_s47,4.7339257961366235
put_carrot_on_plate_s48,4.683730195208294
put_carrot_on_plate_s49,4.738013953697391
put_carrot_on_plate_s50,4.710655468266185
put_carrot_on_plate_s51,4.720674154235096
put_carrot_on_plate_s52,4.633544724162032
put_carrot_on_plate_s53,4.710127004762975
put_carrot_on_plate_s54,4.6814633578788944
put_carrot_on_plate_s55,4.695963394351121
put_carrot_on_plate_s56,4.696422262889583
put_carrot_on_plate_s57,4.6636150057722885
put_carrot_on_plate_s58,4.694072246551514
put_carrot_on_plate_s59,4.712201839540063
put_carrot_on_plate_s60,4.659678587099401
put_carrot_on_plate_s61,4.722224061082049
put_carrot_on_plate_s62,4.727845064023646
put_carrot_on_plate_s63,4.705194042950142
put_carrot_on_plate_s64,4.754226033280536
put_carrot_on_plate_s65,4.791092791208407
put_carrot_on_plate_s66,4.6756696701049805
put_carrot_on_plate_s67,4.6491838199336355
put_carrot_on_plate_s68,4.691527552720977
put_carrot_on_plate_s69,4.58678758435133
put_carrot_on_plate_s70,4.709134171648723
put_carrot_on_plate_s71,4.733670257940525
put_eggplant_into_pot_s42,4.771143343390488
put_eggplant_into_pot_s43,4.826567231155023
put_eggplant_into_pot_s44,4.80013570552919
put_eggplant_into_pot_s45,4.854532904741241
put_eggplant_into_pot_s46,4.785718755024235
put_eggplant_into_pot_s47,4.827701626754388
put_eggplant_into_pot_s48,4.833129731620231
put_eggplant_into_pot_s49,4.772246151435666
put_eggplant_into_pot_s50,4.763673503224442
put_eggplant_into_pot_s51,4.814770465943871
put_eggplant_into_pot_s52,4.835706978309445
put_eggplant_into_pot_s53,4.764543812449386
put_eggplant_into_pot_s54,4.752893075710389
put_eggplant_into_pot_s55,4.809213591784966
put_eggplant_into_pot_s56,4.765740417852634
